Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
644-2,1436165,1,Upper,26,1218684.87,1
644-2,1436174,2,Upper,26,885238.81,1
644-2,1436183,3,Upper,26,1090231.62,1
644-2,1436191,4,Upper,26,1034082.31,1
644-2,1436200,5,Upper,26,1068893.50,1
644-2,1436209,6,Upper,26,885813.13,1
644-2,1436218,7,Upper,26,898048.69,1
644-2,1436227,0,Upper,27,916741.25,1
644-2,1436235,1,Upper,27,1210044.37,1
644-2,1436244,2,Upper,27,877839.69,1
644-2,1436253,3,Upper,27,1075630.25,1
644-2,1436262,4,Upper,27,1029404.37,1
644-2,1436271,5,Upper,27,1068057.37,1
644-2,1436279,6,Upper,27,883520.25,1
644-2,1436288,7,Upper,27,902799.19,1
644-2,1436297,0,Upper,28,914898.37,1
644-2,1436306,1,Upper,28,1191043.87,1
644-2,1436315,2,Upper,28,884092.38,1
644-2,1436323,3,Upper,28,1086760.37,1
644-2,1436332,4,Upper,28,1027854.44,1
644-2,1436341,5,Upper,28,1066389.00,1
644-2,1436350,6,Upper,28,889854.44,1
644-2,1436359,7,Upper,28,901011.88,1
644-2,1436367,0,Upper,29,919210.06,1
644-2,1436376,1,Upper,29,1210044.37,1
644-2,1436385,2,Upper,29,882948.94,1
644-2,1436394,3,Upper,29,1080738.75,1
644-2,1436403,4,Upper,29,1028628.81,1
644-2,1436411,5,Upper,29,1077327.75,1
644-2,1436420,6,Upper,29,882948.94,1
644-2,1436429,7,Upper,29,900417.69,1
644-2,1436438,0,Lower,30,913673.87,1
644-2,1436447,1,Lower,30,1196261.62,1
644-2,1436455,2,Lower,30,879536.19,1
644-2,1436464,3,Lower,30,1083311.25,1
644-2,1436473,4,Lower,30,1025538.31,1
644-2,1436482,5,Lower,30,1075630.25,1
644-2,1436491,6,Lower,30,880670.81,1
644-2,1436499,7,Lower,30,903396.56,1
644-2,1436508,0,Lower,31,84973744.00,1
644-2,1436517,1,Lower,31,102400000.00,1
644-2,1436526,2,Lower,31,72076984.00,1
644-2,1436534,3,Lower,31,102400000.00,1
644-2,1436543,4,Lower,31,102400000.00,1
644-2,1436552,5,Lower,31,102400000.00,1
644-2,1436561,6,Lower,31,102400000.00,1
644-2,1436570,7,Lower,31,102400000.00,1
644-2,1436578,0,Lower,32,81487096.00,1
644-2,1436587,1,Lower,32,102400000.00,1
644-2,1436596,2,Lower,32,69276952.00,1
644-2,1436605,3,Lower,32,102400000.00,1
644-2,1436613,4,Lower,32,101096800.00,1
644-2,1436622,5,Lower,32,101803496.00,1
644-2,1436631,6,Lower,32,99940528.00,1
644-2,1436640,7,Lower,32,97814928.00,1
644-2,1436649,0,Lower,33,81108912.00,1
644-2,1436657,1,Lower,33,102400000.00,1
644-2,1436666,2,Lower,33,68840336.00,1
644-2,1436675,3,Lower,33,102400000.00,1
644-2,1436684,4,Lower,33,99940528.00,1
644-2,1436692,5,Lower,33,101096800.00,1
644-2,1436701,6,Lower,33,98365480.00,1
644-2,1436710,7,Lower,33,96518408.00,1
644-2,1436719,0,Lower,34,79776016.00,1
644-2,1436728,1,Lower,34,102400000.00,1
644-2,1436736,2,Lower,34,68948976.00,1
644-2,1436745,3,Lower,34,102400000.00,1
644-2,1436754,4,Lower,34,99940528.00,1
644-2,1436763,5,Lower,34,99485392.00,1
644-2,1436771,6,Lower,34,97054424.00,1
644-2,1436780,7,Lower,34,97054424.00,1
644-2,1436789,0,Lower,35,79341408.00,1
644-2,1436798,1,Lower,35,102400000.00,1
644-2,1436807,2,Lower,35,68248896.00,1
644-2,1436815,3,Lower,35,102400000.00,1
644-2,1436824,4,Lower,35,99372248.00,1
644-2,1436833,5,Lower,35,99372248.00,1
644-2,1436842,6,Lower,35,97270504.00,1
644-2,1436850,7,Lower,35,94127112.00,1
644-2,1436859,0,Lower,36,79558120.00,1
644-2,1436868,1,Lower,36,102400000.00,1
644-2,1436877,2,Lower,36,67983400.00,1
644-2,1436886,3,Lower,36,102400000.00,1
644-2,1436894,4,Lower,36,98254872.00,1
644-2,1436903,5,Lower,36,98365480.00,1
644-2,1436912,6,Lower,36,96411920.00,1
644-2,1436921,7,Lower,36,93723272.00,1
644-2,1436929,0,Lower,37,78911496.00,1
644-2,1436938,1,Lower,37,102400000.00,1
644-2,1436947,2,Lower,37,68089352.00,1
644-2,1436956,3,Lower,37,102400000.00,1
644-2,1436965,4,Lower,37,97705552.00,1
644-2,1436973,5,Lower,37,97814928.00,1
644-2,1436982,6,Lower,37,95672992.00,1
644-2,1436991,7,Lower,37,92827192.00,1
644-2,1437000,0,Lower,38,78911496.00,1
644-2,1437008,1,Lower,38,102400000.00,1
644-2,1437017,2,Lower,38,67615168.00,1
644-2,1437026,3,Lower,38,101685024.00,1
644-2,1437035,4,Lower,38,97924544.00,1
644-2,1437044,5,Lower,38,98587440.00,1
644-2,1437052,6,Lower,38,95359768.00,1
644-2,1437061,7,Lower,38,93322888.00,1
